dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
Dry Bean,target,RDT,5,0.8670203720828074,0.013224069995919095,,,35.56208057403565,0.003987646102905274,"[0.8527359529930224, 0.8795003673769287, 0.852314474650992, 0.8842762674504041, 0.8662747979426892]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2}",5,5.0,5,32,0.6261904761904762
Dry Bean,target,RDT-TwoPass,5,0.8926604754502359,0.0032601983173091726,,,69.67724733352661,0.003743743896484375,"[0.8909291222915902, 0.8912564290962528, 0.8897869213813373, 0.8989713445995592, 0.8923585598824394]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",4,5.0,5,32,0.8800000000000001
Dry Bean,target,sklearn-DT,5,0.8843578378107088,0.004653001956430027,,,5.577301692962647,0.00020041465759277344,"[0.8898273962541314, 0.8861131520940485, 0.8761939750183688, 0.8828067597354886, 0.8868479059515062]","{'ccp_alpha': 0.0, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",12,5.99948571008743,5,31,0.7582783882783882
Dry Bean,target,ConTree,5,0.7219899174393545,0.004616098563266019,,,300.005513048172,0.0005949974060058594,"[0.7172236503856041, 0.7303453343130052, 0.7207935341660544, 0.7229977957384276, 0.7185892725936811]","{'max_depth': 5, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,5.0,-1,-1,0.0
Dry Bean,target,ODT,7,0.5976048049610322,0.0023652660969726838,,,22.88773031234741,0.004263544082641601,"[0.5986044803525523, 0.5962527553269654, 0.5962527553269654, 0.5951506245407788, 0.6017634092578986]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 5, 'min_samples_leaf': 5}",7,7.0,7,128,0.0
Dry Bean,target,RDT,7,0.8967754208509815,0.008194491322805397,,,36.43788638114929,0.004919576644897461,"[0.8865222181417555, 0.9026451138868479, 0.8883174136664217, 0.9077883908890522, 0.8986039676708303]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",7,7.0,7,128,0.6886904761904762
Dry Bean,target,RDT-TwoPass,7,0.9043423872026007,0.003993745580590063,,,84.18314061164855,0.006038808822631836,"[0.9001101726037458, 0.9099926524614255, 0.9026451138868479, 0.9081557678177811, 0.9008082292432035]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 2}",5,7.0,7,128,0.9000000000000001
Dry Bean,target,sklearn-DT,7,0.9032398246844376,0.0034171919157069456,,,14.75111527442932,0.0009854793548583984,"[0.9059860448035255, 0.9052167523879501, 0.8982365907421014, 0.9000734753857458, 0.9066862601028656]","{'ccp_alpha': 0.0, 'max_depth': 7, 'min_samples_leaf': 5, 'min_samples_split': 2}",15,7.81999853060025,7,94,0.925
Dry Bean,target,ConTree,7,0.5336117914637414,0.034212104071847896,,,300.0297005176544,0.000999116897583008,"[0.543518178479618, 0.5540044085231447, 0.46583394562821456, 0.5569434239529758, 0.5477590007347538]","{'max_depth': 7, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,7.0,-1,-1,0.0
Dry Bean,target,ODT,9,0.597531356558535,0.002350148842704416,,,71.23782067298889,0.009247970581054688,"[0.5982372383400661, 0.5966201322556943, 0.5958853783982366, 0.5951506245407788, 0.6017634092578986]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 5, 'min_samples_leaf': 5}",9,9.0,9,512,0.0
Dry Bean,target,RDT,9,0.8982448745993998,0.008828130387506827,,,115.11022486686707,0.014308595657348632,"[0.8872567021667279, 0.9011756061719324, 0.8883174136664217, 0.9070536370315944, 0.9074210139603233]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 5, 'min_samples_leaf': 2}",8,9.0,9,512,0.625
Dry Bean,target,RDT-TwoPass,9,0.9067667241499805,0.0047668994328893535,,,249.69229965209962,0.010955619812011718,"[0.9048843187660668, 0.9048493754592212, 0.9033798677443057, 0.9162380602498164, 0.9044819985304923]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 2}",5,9.0,9,512,0.7136904761904761
Dry Bean,target,sklearn-DT,9,0.9107343140305068,0.0028813347369368407,,,8.24961190223694,0.0005861759185791015,"[0.9059860448035255, 0.9121969140337987, 0.9107274063188832, 0.9099926524614255, 0.9147685525349009]","{'ccp_alpha': 0.0, 'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 10}",16,9.485489677466754,9,192,0.975
Dry Bean,target,ConTree,9,0.5353753356378826,0.011763369709390958,,,299.99856820106504,0.0003471851348876953,"[0.541681968417187, 0.5529022777369581, 0.5319617927994122, 0.5330639235855988, 0.5172667156502572]","{'max_depth': 9, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,9.0,-1,-1,0.0
