algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,success,features_used,avg_path_length,actual_depth,n_leaves,stability,dataset
RDT-TwoPass,3,onehot,0.6712219372963035,0.0008485093267923,,,415.7176211833954,0.1994791984558105,"[0.6699654914244899, 0.6722459833222895, 0.672096865802654, 0.670917884373763, 0.6708834615583209]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,2,3.0,3,8,0.0,Cover Type
sklearn-DT,3,onehot,0.6772837753667345,0.0008266288887428,,,174.14859256744384,0.0246726989746093,"[0.6760754885846321, 0.6775986850597661, 0.6780261957625514, 0.6765546204024027, 0.6781638870243197]","{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",True,5,3.0,3,8,0.0,Cover Type
ConTree,3,onehot,0.6858343731736027,0.0009622988614181,,,353.1785333633423,0.0205994129180908,"[0.6843541044551346, 0.6864883006462827, 0.6870880019276777, 0.6860381060566944, 0.6852033527822241]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Cover Type
ODT,9,target,0.6751289145258106,0.0008626093840308,,,241.5193346977234,0.2604807376861572,"[0.6737175460186053, 0.6756538127242843, 0.676244815063424, 0.675315399046488, 0.6747129997762517]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",True,-1,9.0,9,512,0.0,Cover Type
RDT,9,target,0.6981628608598788,0.0007141233665884,,,295.3105875968933,0.3717766761779785,"[0.6975035067941447, 0.6987082949665672, 0.6986024336930517, 0.697113646925182, 0.6988864219204489]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",True,6,9.0,9,512,0.0,Cover Type
RDT-TwoPass,9,target,0.7309780289176868,0.0032553491845356,,,822.4876685142517,0.4453932285308838,"[0.7288968443155512, 0.7265216904899185, 0.7323798213455879, 0.7309340630970207, 0.7361577253403556]","{'max_depth': 9, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,5,9.0,9,512,0.0,Cover Type
sklearn-DT,9,target,0.7617329817993768,0.0020996822565343,,,234.7098274230957,0.0172890186309814,"[0.7579494505305371, 0.7622952935810607, 0.7644102511144386, 0.7622244023338669, 0.7617855114369805]","{'ccp_alpha': 0.0, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 2}",True,31,9.0,9,431,0.0,Cover Type
ConTree,9,target,0.6476303426554856,0.0004745716379736,,,307.4726538181305,0.0164028167724609,"[0.6478146003115238, 0.6467991359947678, 0.6479578664738989, 0.6474415242422678, 0.6481385862549698]","{'max_depth': 9, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Cover Type
ODT,5,onehot,0.6718949027309246,0.0008324094748475,,,218.2821260929108,0.2204535007476806,"[0.6705334629914891, 0.672030842577214, 0.6729746475964269, 0.6724238825493537, 0.6715116779401388]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,5.0,5,32,0.0,Cover Type
RDT,5,onehot,0.6846450707654331,0.0012366515125757,,,284.09660778045657,0.2827115058898926,"[0.6822113026341833, 0.6852232730652392, 0.6855475809366448, 0.6853668611555739, 0.6848763360355243]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,3,5.0,5,32,0.0,Cover Type
RDT-TwoPass,5,onehot,0.6833765946523922,0.0013554021231384,,,567.475091791153,0.2743302822113037,"[0.6812302608366393, 0.6835107527344388, 0.6848591246278033, 0.6846956162544534, 0.6825872188086264]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,4,5.0,5,32,0.0,Cover Type
sklearn-DT,5,onehot,0.7024123438440573,0.0009635225015496,,,272.842396736145,0.0257146835327148,"[0.7012555613882602, 0.7028476029018184, 0.7040498442367601, 0.7018726011600489, 0.7020361095333988]","{'ccp_alpha': 0.0, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",True,11,5.0,5,32,0.0,Cover Type
ConTree,5,onehot,0.6526354018026179,0.0004421894724204,,,342.36387767791746,0.0140217781066894,"[0.652435823515744, 0.6527628374482587, 0.6531729230133733, 0.6529147518975577, 0.651890673138156]","{'max_depth': 5, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Cover Type
