algorithm,depth,encoding,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,success,features_used,avg_path_length,actual_depth,n_leaves,stability,dataset
RDT-TwoPass,7,target,0.8518896249472562,0.005000424981064,0.8871322162103376,0.0047585206870221,112.32436265945437,0.0464818000793457,"[0.8489098167673252, 0.8618077592384072, 0.8504299754299754, 0.8497133497133497, 0.8485872235872236]","{'max_depth': 7, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",True,5,7.0,7,128,0.0,Adult Income
sklearn-DT,7,target,0.8568240671552168,0.0026133086351194,0.903415360217784,0.0014091711825814,9.361726760864258,0.0015757083892822,"[0.8553587880028662, 0.8572013512130208, 0.8601556101556102, 0.8587223587223587, 0.8526822276822277]","{'ccp_alpha': 0.0, 'max_depth': 7, 'min_samples_leaf': 5, 'min_samples_split': 2}",True,13,7.0,7,80,0.0,Adult Income
OSDT,7,target,0.7607182362198229,3.815022657841085e-05,0.5,0.0,0.057528018951416,0.0002753734588623,"[0.7606715119254785, 0.7606715119254785, 0.7607493857493858, 0.7607493857493858, 0.7607493857493858]","{'max_depth': 7, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,7.0,7,128,0.0,Adult Income
ConTree,7,target,0.8269932680798684,0.0227160201009303,0.8257502100432378,0.0168753235293972,300.0732192516327,0.0007941246032714,"[0.7995700685842972, 0.8492169106356843, 0.799037674037674, 0.8447993447993448, 0.8423423423423423]","{'max_depth': 7, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Adult Income
ODT,3,onehot,0.8257852837901973,0.0053927623925571,0.8379426598714794,0.0096982323097909,29.135755586624143,0.0171286106109619,"[0.8241375780530249, 0.8226021087112294, 0.8231981981981982, 0.8224815724815725, 0.8365069615069615]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,3.0,3,8,0.0,Adult Income
RDT,3,onehot,0.8437615050164953,0.0033650684959551,0.8561921217929147,0.0026036341006966,34.03748092651367,0.0170264244079589,"[0.8411301054355614, 0.8469648889343843, 0.846027846027846, 0.8462325962325963, 0.8384520884520884]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",True,3,3.0,3,8,0.0,Adult Income
RDT-TwoPass,3,onehot,0.8437615050164953,0.0033650684959551,0.8561921217929147,0.0026036341006966,46.65991106033325,0.0169274806976318,"[0.8411301054355614, 0.8469648889343843, 0.846027846027846, 0.8462325962325963, 0.8384520884520884]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",True,3,3.0,3,8,0.0,Adult Income
sklearn-DT,3,onehot,0.8435567569076629,0.0032635364142418,0.8562941879340293,0.002626802677627,6.709578371047973,0.0021933078765869,"[0.8410277408127751, 0.8469648889343843, 0.846027846027846, 0.8453112203112203, 0.8384520884520884]","{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",True,4,3.0,3,8,0.0,Adult Income
OSDT,3,onehot,0.7607182362198229,3.815022657841085e-05,0.5,0.0,0.0452445030212402,0.0015705108642578,"[0.7606715119254785, 0.7606715119254785, 0.7607493857493858, 0.7607493857493858, 0.7607493857493858]","{'max_depth': 3, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",True,-1,3.0,3,8,0.0,Adult Income
ConTree,3,onehot,0.8499446698673847,0.0036348958820513,0.7523071630273694,0.0071641539239986,311.10690851211547,0.0014595031738281,"[0.8472719828027434, 0.8550516941345071, 0.8521703521703522, 0.8505323505323505, 0.8446969696969697]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",True,-1,-1.0,-1,-1,0.0,Adult Income
