dataset,encoding,algorithm,depth,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_train_time,mean_pred_time,cv_scores,best_params,features_used,avg_path_length,actual_depth,n_leaves,stability
HTRU2,target,RDT,3,0.9767569980691213,0.0021399244315634855,0.960793225820826,0.008817235970555672,108.60311622619629,0.005660724639892578,"[0.9782122905027933, 0.9762569832402235, 0.979050279329609, 0.9728974573903325, 0.9773679798826488]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",1,3.0,3,8,1.0
HTRU2,target,RDT-TwoPass,3,0.977650930864556,0.002229963345506554,0.9494812381108441,0.007145219049072213,94.50405330657959,0.005518674850463867,"[0.9793296089385475, 0.976536312849162, 0.9807262569832402, 0.9742944956691814, 0.9773679798826488]","{'max_depth': 3, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 1}",2,3.0,3,8,0.5333333333333332
HTRU2,target,sklearn-DT,3,0.9774275608336026,0.0011920510707400947,0.947981307273713,0.022083101152475793,4.544449329376221,0.0007982254028320312,"[0.9787709497206704, 0.9762569832402235, 0.9787709497206704, 0.9759709416037999, 0.9773679798826488]","{'ccp_alpha': 0.0, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",3,4.0,3,8,0.5166666666666667
HTRU2,target,OSDT,3,0.9084255300550541,0.00010455440151957822,0.5,0.0,0.040545082092285155,0.00010166168212890624,"[0.9083798882681564, 0.9083798882681564, 0.9083798882681564, 0.9086336965632859, 0.908354288907516]","{'max_depth': 3, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",3,3.0,3,8,0.0
HTRU2,target,ConTree,3,0.9783773127227262,0.001942229836276708,0.9441994272368159,0.006489265157728457,299.9115242958069,0.0007513523101806641,"[0.9804469273743017, 0.9779329608938547, 0.979608938547486, 0.9748533109807209, 0.9790444258172674]","{'max_depth': 3, 'max_gap': 0, 'max_gap_decay': 0.0, 'time_limit': 300, 'use_upper_bound': True, 'sort_gini': True}",-1,3.0,-1,-1,0.0
HTRU2,target,ODT,5,0.9772040503183529,0.0013884764110590603,0.9645437759593494,0.007869052728504437,122.89363031387329,0.01151280403137207,"[0.9782122905027933, 0.9762569832402235, 0.979050279329609, 0.9751327186364906, 0.9773679798826488]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2}",5,5.0,5,32,0.0
HTRU2,target,RDT,5,0.9765334719445058,0.0022720446047760964,0.9656257234007418,0.01176870273980803,141.56446566581727,0.00836939811706543,"[0.9773743016759776, 0.9779329608938547, 0.9782122905027933, 0.9720592344230232, 0.9770885722268791]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 5}",2,5.0,5,32,0.6
HTRU2,target,RDT-TwoPass,5,0.9783773127227262,0.0015385636934155985,0.9568271587227611,0.008003424790542859,140.72202591896058,0.008278179168701171,"[0.9798882681564246, 0.9782122905027933, 0.9798882681564246, 0.9756915339480302, 0.9782062028499581]","{'max_depth': 5, 'task': 'classification', 'criterion': 'gini', 'min_samples_split': 5, 'min_samples_leaf': 1}",3,5.0,5,32,0.42833333333333334
HTRU2,target,sklearn-DT,5,0.978488997738203,0.0020400081134325176,0.9655040115300203,0.008705863196616303,4.323612833023072,0.000559854507446289,"[0.9810055865921787, 0.9801675977653631, 0.9782122905027933, 0.9751327186364906, 0.9779267951941883]","{'ccp_alpha': 0.0, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",7,5.998212090736395,5,28,0.925
HTRU2,target,OSDT,5,0.9084255300550541,0.00010455440151957822,0.5,0.0,0.018338394165039063,8.139610290527343e-05,"[0.9083798882681564, 0.9083798882681564, 0.9083798882681564, 0.9086336965632859, 0.908354288907516]","{'max_depth': 5, 'timelimit': 60, 'min_samples_split': 2, 'min_samples_leaf': 1}",5,5.0,5,32,0.0
